,YearsCode,ConvertedCompYearly
1536,5,
1537,8,76000.0
1538,9,8517.0
1539,18,
1540,42,70000.0
1541,26,
1543,3,
1544,9,415092.0
1546,5,
1548,3,
1549,18,28860.0
1550,14,11832.0
1551,4,25131.0
1552,10,28308.0
1553,18,77832.0
1554,11,
1555,10,55582.0
1556,12,120000.0
1557,3,
1558,12,31020.0
1559,16,43404.0
1560,25,97000.0
1561,7,
1562,10,25944.0
1564,22,15192.0
1565,16,25131.0
1566,15,840000.0
1567,10,54972.0
1568,15,
1569,30,75669.0
1570,30,
1571,9,30267.0
1572,7,41077.0
1573,10,26796.0
1574,2,
1576,6,
1577,8,
1579,9,
1580,5,11868.0
1581,6,
1582,2,
1583,4,
1584,20,172950.0
1586,14,96808.0
1587,7,67092.0
1588,11,76000.0
1589,5,
1590,6,79344.0
1591,35,
1592,2,
1593,24,40086.0
1594,49,112000.0
1595,5,22776.0
1596,20,30000.0
1597,35,
1598,2,
1599,40,170000.0
1600,7,26484.0
1601,5,
1602,6,37834.0
1604,10,
1605,6,60000.0
1606,1,
1607,20,25428.0
1608,34,81074.0
1609,5,28248.0
1610,6,
1611,7,12230.0
1612,2,
1613,11,8376.0
1614,15,150000.0
1615,16,36300.0
1616,5,3372.0
1617,9,1551108.0
1618,40,
1619,13,77556.0
1620,13,40212.0
1621,35,
1622,7,
1623,6,
1624,5,
1625,10,13740.0
1626,10,
1627,25,23352.0
1628,14,77556.0
1629,30,56723.0
1630,13,843168.0
1631,6,75631.0
1632,10,103000.0
1633,20,
1634,15,95000.0
1635,10,
1636,12,
1637,4,64630.0
1638,6,82464.0
1639,6,108098.0
1640,30,
1641,44,
1642,6,
1643,10,
1644,8,6432.0
1645,10,75631.0
1646,15,84316.0
1647,20,19452.0
1648,21,142308.0
1650,13,110256.0
1651,15,10810.0
1652,10,60535.0
1653,4,
1654,10,37000.0
1655,10,60000.0
1656,22,79956.0
1657,14,160000.0
1658,1,
1659,9,
1660,5,23782.0
1661,3,
1662,11,
1663,10,840204.0
1664,11,86976.0
1665,34,
1666,3,
1667,9,
1668,10,17100.0
1669,15,500000.0
1670,5,
1671,7,
1672,10,
1673,4,
1674,23,64859.0
1675,6,33504.0
1677,10,26513.0
1678,35,193889.0
1679,18,
1681,11,12324.0
1682,7,86000.0
1683,35,193052.0
1684,12,42158.0
1685,17,60505.0
1686,10,18156.0
1687,4,132000.0
1688,13,73741.0
1689,9,62697.0
1690,20,65976.0
1691,7,27492.0
1692,8,
1693,12,37834.0
1694,12,
1695,12,9180.0
1696,5,
1697,5,
1698,24,148000.0
1699,20,135000.0
1700,40,51704.0
1701,11,43239.0
1702,26,85650.0
1704,7,24696.0
1705,11,18684.0
1706,4,18108.0
1707,10,179000.0
1708,20,210050.0
1709,30,157596.0
1710,12,108098.0
1711,10,45564.0
1712,4,1680.0
1713,7,29604.0
1714,15,21144.0
1715,6,
1716,4,6852.0
1717,4,24300.0
1718,24,
1719,7,
1720,31,54049.0
1721,9,
1722,7,38778.0
1723,8,130000.0
1724,4,
1725,3,
1726,2,70000.0
1727,15,70264.0
1728,12,13032.0
1729,13,54049.0
1730,18,141900.0
1731,12,64860.0
1732,30,129718.0
1733,10,
1734,15,23735.0
1735,6,62268.0
1736,15,51704.0
1737,13,135000.0
1738,10,23735.0
1739,12,
1742,6,
1743,10,
1744,9,37992.0
1745,38,
1746,5,18848.0
1747,12,
1748,9,10486.0
1749,5,11520.0
1750,8,81074.0
1751,16,99450.0
1752,20,72000.0
1753,34,
1754,11,
1755,41,305000.0
1756,6,
1757,3,324300.0
1758,7,72900.0
1759,9,63528.0
1760,16,56723.0
1761,14,15564.0
1762,11,55776.0
1763,18,97288.0
1764,12,42036.0
1765,13,29302.0
1766,10,5136.0
1767,9,
1768,8,
1769,40,
1770,18,70000.0
1771,18,103408.0
1772,13,140000.0
1773,12,
1774,20,50673.0
1775,8,
1776,43,
1778,2,60132.0
1779,17,82155.0
1780,2,
1781,5,27612.0
1782,5,96945.0
1783,18,121010.0
1784,8,77556.0
1785,18,492912.0
1786,9,24200.0
1787,10,
1788,7,
1789,5,26436.0
1790,8,42000.0
1792,8,27923.0
1793,4,45401.0
1794,10,583728.0
1795,8,402096.0
1796,22,65291.0
1797,8,
1798,4,5268.0
1799,14,11544.0
1800,6,
1801,7,
1802,16,72744.0
1804,39,204700.0
1805,15,45401.0
1806,12,42960.0
1807,16,
1808,5,17568.0
1809,18,
1810,5,8016.0
1811,20,
1812,8,
1813,18,
1814,20,
1815,18,37834.0
1816,9,
1818,5,466980.0
1819,1,61500.0
1820,10,
1821,5,1716.0
1822,18,64630.0
1823,5,
1824,11,56723.0
1825,1,
1826,13,25644.0
1827,2,
1828,15,155111.0
1829,22,
1830,16,86478.0
1831,26,6852.0
1832,4,
1833,24,
1834,11,
1835,3,
1836,5,75669.0
1837,23,149000.0
1838,24,
1839,30,150000.0
1840,11,
1841,7,63252.0
1842,40,51552.0
1843,20,75669.0
1844,6,
1845,8,83000.0
1846,10,84924.0
1847,8,56211.0
1848,7,7200.0
1849,17,31128.0
1850,8,
1851,49,
1852,15,
1854,11,82308.0
1855,3,
1856,10,118685.0
1857,5,
1858,7,108100.0
1859,3,8288.0
1860,10,
1861,42,
1862,14,39201.0
1863,24,
1864,6,
1865,6,
1866,21,62828.0
1867,10,31128.0
1868,8,28536.0
1869,5,
1870,10,125000.0
1872,28,130000.0
1873,8,
1874,39,
1875,25,164604.0
1876,2,1140.0
1877,4,
